%  Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com

09-Feb-2004

Order        Damper Ratio         Modal Freqency(Hz.)        
     151          0.00113622                 1516.81
     152          0.00115009                 1523.19
     153          0.00121574                 1536.81
     154          0.0012315                 1543.19
     155          0.0012445                 1557.59
     156          0.00126102                 1562.41
     157          0.00133052                 1577.59
     158          0.00134926                 1582.41
     159          0.00136355                 1597.73
     160          0.00138323                 1602.27
     161          0.00145669                 1617.73
     162          0.001479                 1622.27
     163          0.00149473                 1636.69
     164          0.00151823                 1643.31
     165          0.00159635                 1656.69
     166          0.001623                 1663.31
     167          0.00164032                 1677.88
     168          0.00166847                 1682.12
     169          0.00175115                 1697.88
     170          0.00178305                 1702.12
     171          0.00180218                 1718.02
     172          0.00183599                 1721.98
     173          0.00192166                 1738.02
     174          0.00195996                 1741.98
     175          0.0019811                 1758.16
     176          0.00202184                 1761.84
     177          0.00210879                 1778.16
     178          0.00215493                 1781.84
     179          0.00217831                 1798.3
     180          0.00222757                 1801.7
     181          0.00231629                 1818.3
     182          0.00237213                 1821.7
     183          0.00239801                 1838.44
     184          0.0024579                 1841.56
     185          0.0025512                 1858.44
     186          0.00261926                 1861.56
     187          0.002648                 1878.59
     188          0.0027214                 1881.41
     189          0.00282191                 1898.59
     190          0.00290566                 1901.41
     191          0.00293772                 1918.73
     192          0.0030286                 1921.27
     193          0.00313655                 1938.73
     194          0.00324072                 1941.27
     195          0.00327673                 1958.88
     196          0.00339058                 1961.12
     197          0.00350259                 1978.88
     198          0.00363367                 1981.12
     199          0.00367441                 1999.02
     200          0.00381892                 2000.98
     201          0.00392699                 2019.02
     202          0.004094                 2020.98
     203          0.00410946                 2039.16
     204          0.00414046                 2040.84
     205          0.00416197                 2059.16
     206          0.00418798                 2060.84
     207          0.00424253                 2079.29
     208          0.00432655                 2080.71
     209          0.00441768                 2099.29
     210          0.00463355                 2100.71
     211          0.00468695                 2120
     212          0.00493067                 2120
     213          0.00499083                 2139.41
     214          0.0052752                 2140.59
     215          0.00533704                 2159.41
     216          0.00566352                 2160.59
     217          0.00568872                 2179.53
     218          0.00607427                 2180.47
     219          0.00614651                 2199.53
     220          0.00659907                 2200.47
     221          0.00660318                 2219.65
     222          0.00715005                 2220.35
     223          0.00723579                 2239.65
     224          0.00789771                 2240.35
     225          0.00790475                 2259.76
     226          0.00873556                 2260.24
     227          0.00884022                 2279.76
     228          0.00989238                 2280.24
     229          0.00992577                 2299.88
     230          0.0113277                 2300.12
     231          0.0114617                 2319.88
     232          0.0133728                 2320.12
     233          0.0134575                 2340
     234          0.0162786                 2340
     235          0.0164644                 2356.58
     236          0.0208942                 2363.42
     237          0.0210725                 2376.58
     238          0.0292385                 2383.42
     239          0.0295385                 2396.48
     240          0.0485298                 2403.53
     241          0.0489129                 2416.48
     242          0.145354                 2423.53
     

Sampling Freqency(Hz.)
     20     
