%   Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing UnivercityBy Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com
19-Oct-2019

Order        Eigenvalue(Re.)        Eigenvalue(Im.)        
     187          -4.48865              -8308.41
     188          -4.32975              -8405.78
     189          -4.32975              -8558.82
     190          -4.19861              -8658.02
     191          -4.19861              -8809.24
     192          -4.88192              -8905.75
     193          -4.88192              -9064.16
     194          -4.09139              -9161.58
     195          -4.09139              -9310.98
     196          -5.10004              -9407.55
     197          -5.10004              -9567.67
     198          -4.00382              -9665.14
     199          -4.00382              -9812.73
     200          -3.93439              -9917.38
     201          -3.93439              -10063.1
     202          -5.32186              -10160.7
     203          -5.32186              -10322.5
     204          -3.88832              -10421
     205          -3.88832              -10564.9
     206          -5.54256              -10662.5
     207          -5.54256              -10825.9
     208          -3.87688              -10924.5
     209          -3.87688              -11066.6
     210          -3.91314              -11176.8
     211          -3.91314              -11317
     212          -5.7564              -11415.7
     213          -5.7564              -11580.7
     214          -4.19556              -11686.7
     215          -4.00398              -11806.1
     216          -4.00398              -11944.4
     217          -4.08939              -12058.4
     218          -4.08939              -12194.7
     219          -4.19915              -12314.3
     220          -4.19915              -12441.4
     221          -4.11851              -12561.9
     222          -4.11851              -12696.5
     223          -4.20553              -12816.2
     224          -4.20553              -12944.8
     225          -4.20434              -13066.8
     226          -4.20434              -13196.9
     227          -4.15471              -13316.7
     228          -4.15471              -13449.7
     229          -4.18711              -13568.8
     230          -4.18711              -13700.3
     231          -5.95353              -13802.6
     232          -5.95353              -13969.1
     233          -6.14293              -14051.1
     234          -6.14293              -14223.3
     235          -6.11766              -14304.5
     236          -6.11766              -14472.5
     237          -5.0479              -14571.2
     238          -5.0479              -14708.4
     239          -6.22063              -14806.5
     240          -6.22063              -14975.8
     241          -6.22721              -15057.1
     242          -6.22721              -15227.8
     
