%  Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com

19-Oct-2019

Order        Damper Ratio         Modal Freqency(Hz.)        
     129          0.000778768                 1297.68
     130          0.000782117                 1302.32
     131          0.000783681                 1317.68
     132          0.000788384                 1322.32
     133          0.000796542                 1337.82
     134          0.000803043                 1342.18
     135          0.000819918                 1357.82
     136          0.000827072                 1362.18
     137          0.000835616                 1377.97
     138          0.000843048                 1382.03
     139          0.000875551                 1397.97
     140          0.00088386                 1402.03
     141          0.000892978                 1417.39
     142          0.000901623                 1422.61
     143          0.000945472                 1437.39
     144          0.00095522                 1442.61
     145          0.000965067                 1458.11
     146          0.000975226                 1461.89
     147          0.00102783                 1478.11
     148          0.00103934                 1481.89
     149          0.00105005                 1497.26
     150          0.00106206                 1502.74
     151          0.00112205                 1517.26
     152          0.00113569                 1522.74
     153          0.00114739                 1538.26
     154          0.00116166                 1541.74
     155          0.00122863                 1558.26
     156          0.00124485                 1561.74
     157          0.00125769                 1578.4
     158          0.00127469                 1581.6
     159          0.00134898                 1598.4
     160          0.00136833                 1601.6
     161          0.00138246                 1617.13
     162          0.00140279                 1622.87
     163          0.0014844                 1637.13
     164          0.00150756                 1642.87
     165          0.00152315                 1658.55
     166          0.00154755                 1661.45
     167          0.00163521                 1678.55
     168          0.001663                 1681.45
     169          0.00168024                 1697
     170          0.00170959                 1703
     171          0.00180107                 1717
     172          0.00183446                 1723
     173          0.00185355                 1738.69
     174          0.00188892                 1741.31
     175          0.0019826                 1758.69
     176          0.00202279                 1761.31
     177          0.00204392                 1778.84
     178          0.00208666                 1781.16
     179          0.00218381                 1798.84
     180          0.00223238                 1801.16
     181          0.00225579                 1816.87
     182          0.00230764                 1823.13
     183          0.00241323                 1836.87
     184          0.00247234                 1843.13
     185          0.00249835                 1860
     186          0.00256176                 1860
     187          0.00288791                 1878.99
     188          0.00289411                 1881.01
     189          0.00297019                 1898.99
     190          0.00297889                 1901.01
     191          0.00299738                 1919.15
     192          0.00301291                 1920.85
     193          0.00308612                 1939.15
     194          0.0031049                 1940.85
     195          0.00326276                 1959.88
     196          0.00336963                 1960.12
     197          0.00340861                 1979.88
     198          0.00352541                 1980.12
     199          0.00374098                 1999.29
     200          0.00388158                 2000.71
     201          0.00392447                 2019.29
     202          0.00407949                 2020.71
     203          0.00413321                 2039.77
     204          0.00430951                 2040.23
     205          0.00435787                 2059.77
     206          0.00455432                 2060.23
     207          0.00461263                 2079.65
     208          0.00483866                 2080.35
     209          0.00489377                 2099.65
     210          0.00514896                 2100.35
     211          0.00518901                 2119.42
     212          0.00548553                 2120.59
     213          0.00554893                 2139.42
     214          0.00588936                 2140.59
     215          0.0059024                 2159.53
     216          0.00630364                 2160.47
     217          0.00637733                 2179.53
     218          0.00684732                 2180.47
     219          0.00684832                 2196.75
     220          0.00686921                 2203.25
     221          0.00699297                 2216.75
     222          0.00741628                 2223.25
     223          0.00750324                 2236.3
     224          0.0081919                 2243.71
     225          0.00820665                 2256.3
     226          0.00907239                 2263.71
     227          0.00917767                 2276.64
     228          0.0102741                 2283.36
     229          0.010345                 2296.64
     230          0.0118124                 2303.36
     231          0.0119453                 2319.09
     232          0.0139456                 2320.92
     233          0.0141425                 2339.09
     234          0.0171213                 2340.92
     235          0.0173008                 2356.53
     236          0.0219784                 2363.47
     237          0.0225058                 2376.53
     238          0.0312671                 2383.47
     239          0.0315397                 2396.42
     240          0.0519173                 2403.58
     241          0.0531036                 2416.42
     242          0.157544                 2423.58
     

Sampling Freqency(Hz.)
     20     
